new entry "Companion_Mystic_ShadowBeast"
type "Character"
using "Companion_Wolf"
data "Level" "5"
data "Strength" "17"
data "Dexterity" "15"
data "Constitution" "15"
data "Intelligence" "3"
data "Wisdom" "12"
data "Charisma" "7"
data "Vitality" "400"
data "Armor" "14"
data "ProficiencyBonusScaling" "265d62c4-9b82-4ed6-9a86-da675b4ef8fe"
data "ProficiencyBonus" ""
data "Passives" "PackTactics;ShortResting;AttackOfOpportunity;DarknessRules;Darkvision"
data "DefaultBoosts" "ProficiencyBonus(Skill, Perception);ProficiencyBonus(Skill, Stealth);BlockRegainHP(Undead;Construct)"
data "PersonalStatusImmunities" "SG_Charmed;SG_Poisoned;BLEEDING;GAPING_WOUND;SURPRISED"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:9;ReactionActionPoint:1"
data "PoisonResistance" "Immune"
data "Class" "Mystic"
data "StepsType" "Clawed"
data "GameSize" "Small"
