// Wall of Repulsion
new entry "Wall_Mystic_WallOfRepulsion"
type "SpellData"
data "SpellType" "Wall"
data "Level" "3"

data "Icon" "Action_Mystic_WallOfRepulsion"
data "DisplayName" "h52bc941fg3400g43c0g88b1g17e2fc2eec65"
data "Description" "h0cc6b196gaa72g417ag8d93gafdb4fc13ea0"

data "TargetRadius" "18"
data "MaxDistance" "9"
data "Lifetime" "60"
data "SurfaceType" ""
data "SurfaceRadius" "3"
data "TooltipAttackSave" "Wisdom"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;PsiPointsResource:3;PsiLimitResource:1:3"
data "SpellAnimation" "2de2c59c-7f42-4419-8b25-09931a8cd5e4,,;,,;2da41f71-3471-4ac8-a268-63983acbe88c,,;70c2d89d-98bd-4462-82e2-8e30e9c727be,,;7b0adac6-a6a6-4664-9aa4-20106d74f4cc,,;,,;9bffe4ec-8f3a-4e92-be99-0557c783aab1,,;,,;,,"
data "SpellFlags" "IsSpell;IsConcentration;"
data "ItemWall" "WallOfFire"
data "ItemWallStatus" "MYSTIC_WALLOFREPULSION"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "PrepareSound" "Spell_Prepare_Debuff_Gen_L1to3_01"
data "PrepareLoopSound" "Spell_Prepare_Debuff_Gen_L1to3_01_Loop"
data "CastSound" "Spell_Cast_Control_AnimalFriendship_L1to3"
data "PrepareEffect" "26c0f936-db54-410c-baa4-a6d3279b1a0b"
data "CastEffect" "55a45753-0e7f-4ef1-9703-4bd6cf6422a7"
data "TargetEffect" "3223f856-8162-4725-9e37-2182260e8440"
data "SpellSoundMagnitude" "Big"

// Telekinetic Barrier
new entry "Wall_Mystic_TelekineticBarrier"
type "SpellData"
data "SpellType" "Wall"
data "Level" "3"

data "Icon" "Action_Mystic_TelekineticBarrier"
data "DisplayName" "hb7cb3735g1907g4d50g9462g3ce0acc8c7af"
data "Description" "h4239b128g398eg4700g86edgb1499e0d2496"

data "TargetRadius" "18"
data "MaxDistance" "9"
data "Lifetime" "60"
data "SurfaceType" ""
data "SurfaceRadius" "3"
data "TooltipAttackSave" "Wisdom"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;PsiPointsResource:3;PsiLimitResource:1:3"
// monk anim
// data "SpellAnimation" "101629c4-d30c-4ae7-b316-9d6423e7298a,,;,,;1b48e605-d73d-48ab-8b69-6f7434f1cd28,,;4d111581-49d7-4820-b839-fa7e363a200c,,;9af429ab-54e8-455b-99d0-71c62e66ad64,,;,,;e550f983-faab-412b-a55d-237a1e17d4da,,;,,;,,"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;6123de84-27e4-4e81-9e1f-8031cc0ebc0d,,;cb171bda-f065-4520-b470-e447f678ba1f,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "SpellFlags" "IsSpell;IsConcentration"
data "ItemWall" "WallOfFire"
data "ItemWallStatus" "MYSTIC_TELEKINETICBARRIER"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "PrepareSound" "Spell_Prepare_Damage_Force_Gen_L1to3"
data "PrepareLoopSound" "Spell_Prepare_Damage_Force_Gen_L1to3_Loop"
data "CastSound" "Spell_Cast_Damage_Force_EldritchBlast_L1to3"
data "PrepareEffect" "cb1c210a-6674-4184-a61c-fcc172b3667e"
data "CastEffect" "8c57a806-472f-4d78-8226-0bba510103bd"
data "SpellSoundMagnitude" "Big"

