// Slice and Dice
new entry "Target_Mystic_SliceAndDice"
using "Target_MainHandAttack"
data "Level" "2"
data "Icon" "Action_DistractingStrike_Melee"
data "DisplayName" "he8196685g8cf6g44eegb587gb27e6c3e7b63"
data "Description" "h6e3c822cg045eg4b1ag856fgd56b292fba06"
data "SpellProperties" "GROUND:DealDamage(MainMeleeWeapon, MainMeleeWeaponDamageType);GROUND:ExecuteWeaponFunctors(MainHand);"
data "SpellRoll" "(Attack(AttackType.MeleeWeaponAttack))"
data "SpellSuccess" "DealDamage(max(1,MainMeleeWeapon), MainMeleeWeaponDamageType);ExecuteWeaponFunctors(MainHand);DealDamage(max(1,MainMeleeWeapon), MainMeleeWeaponDamageType);ExecuteWeaponFunctors(MainHand)"
data "TooltipDamageList" "DealDamage(MainMeleeWeapon, MainMeleeWeaponDamageType);DealDamage(MainMeleeWeapon, MainMeleeWeaponDamageType)"
data "UseCosts" "BonusActionPoint:1;PsiPointsResource:2"
data "RequirementConditions" "FightingStyle_TwoWeapons()"
data "SpellFlags" "IsSpell;IsAttack;IsMelee;IsHarmful"
